,media_url,counts
0,https://www.bignewsnetwork.com,605160
1,https://news.google.com/,62912
2,https://www.infobae.com/,45236
3,http://www.ansa.it,41210
4,http://www.businessinsider.com/,30743
5,http://www.xinhuanet.com/english/home.htm,20703
6,http://economictimes.indiatimes.com/,17903
7,http://www.theage.com.au/,13116
8,https://www.theguardian.com,12588
9,https://www.wsj.com/,11843
10,http://www.startribune.com/,11714
11,https://www.straitstimes.com,11522
12,http://www.thehindubusinessline.com/,10921
13,http://www.lapresse.ca/,10857
14,http://www.irishtimes.com/,10641
15,https://www.firstpost.com/,10560
16,http://sputniknews.com/,10063
17,http://www.arkansasonline.com/,9861
18,https://www.azcentral.com,9585
19,http://www.nbcnews.com/,9181
20,https://www.mercurynews.com/,7606
21,http://www.heraldtribune.com/,7450
22,http://www.couriermail.com.au/,7202
23,https://www.politico.com,7175
24,https://www.dailystar.co.uk,7113
25,https://www.marketwatch.com/,7046
26,http://tucson.com/,6939
27,http://www.jpost.com/Jerusalem-Report,6456
28,https://theconversation.com/us,5875
29,https://news.sky.com,5716
30,http://www.nzherald.co.nz,5497
31,https://www.bostonglobe.com/,4865
32,http://www.freerepublic.com,4648
33,http://www.dailynews.com/,4550
34,http://www.reviewjournal.com/,4263
35,https://www.repubblica.it/,4148
36,https://www.abqjournal.com/,4063
37,http://www.koreaherald.com/,3918
38,http://www.pe.com/,3725
39,http://english.ahram.org.eg/,3721
40,http://www.idahostatesman.com,3690
41,http://www.newser.com,3669
42,http://www.kentucky.com/,3596
43,https://www.alternet.org/,3576
44,http://www.pressdemocrat.com,3454
45,http://www.goerie.com,3337
46,http://elitedaily.com/,3282
47,http://www.rfi.fr/en/,3192
48,https://meduza.io/en,2975
49,http://globegazette.com,2740
